"Title","URL","RAM","Storage","Price","Rating","Reviews"
"2020 Lenovo IdeaPad Laptop ComputerAMD A6-9220e 1.6GHz 4GB Memory 64GB eMMC Flash Memory 14"" AMD Radeon R4 AC WiFi Microsoft Office 365 Platinum Gray Windows 10 Home","https://www.amazon.com/Lenovo-IdeaPad-ComputerAMD-A6-9220e-Microsoft/dp/B081GMHQLR/ref=sr_1_4?dchild=1&keywords=Lenovo&qid=1616248540&s=pc&sr=1-4","","","","2,079 ratings","4 out of 5 
"
"HP 17.3 Inch Laptop Computer 10th Gen Intel Core i5-1035G1 up to 3.6GHz, 12GB RAM, 1TB HDD, Intel Graphics, DVD, WiFi, Bluetooth, Windows 10 (Renewed)","https://www.amazon.com/HP-Computer-i5-1035G1-Graphics-Bluetooth/dp/B08GDLPB8X/ref=sr_1_12?dchild=1&keywords=HP&qid=1616248538&s=pc&sr=1-12","","","","107 ratings","4.5 out of 5 
"
"Lenovo IdeaPad 3 Intel i5-1035G1 Quad Core 12GB RAM 256GB SSD 15.6-inch Touch Screen Laptop","https://www.amazon.com/Lenovo-IdeaPad-i5-1035G1-15-6-inch-Screen/dp/B08NXSJVCR/ref=sr_1_2?dchild=1&keywords=Lenovo&qid=1616248540&s=pc&sr=1-2","","","","301 ratings","4.5 out of 5 
"
"Apple MacBook Pro (13-inch, 8GB RAM, 512GB SSD Storage) - Silver (Previous Model)","https://www.amazon.com/Apple-MacBook-13-inch-Storage-Keyboard/dp/B0881ZF6WP/ref=sr_1_24?dchild=1&keywords=Apple&qid=1616248541&s=pc&sr=1-24","","Price","-","149 ratings","4.7 out of 5 
"
"2021 Newest Dell Inspiron 15 3000 Series 3593 Laptop, 15.6"" HD Non-touch, 10th Gen Intel Core i5-1035G1 Quad-Core Processor, 16GB RAM, 512GB SSD, Webcam, HDMI, Wi-Fi, Bluetooth, Windows 10 Home, Black","https://www.amazon.com/Dell-LED-Backlit-Touchscreen-Processor-Wireless-AC/dp/B081FGHNBL/ref=sr_1_1?dchild=1&keywords=Dell&qid=1616248536&s=pc&sr=1-1","","","","50 ratings","4 out of 5 
"
"HP Pavilion 15-CS Intel i5-1035G1 12GB 512GB SSD 15.6-Inch Full HD WLED Touch Screen Laptop","https://www.amazon.com/HP-Pavilion-Touchscreen-i5-1035G1-Wireless-AC/dp/B087SD98F4/ref=sr_1_3?dchild=1&keywords=HP&qid=1616248538&s=pc&sr=1-3","","","","296 ratings","4.6 out of 5 
"
"HP 15-dy1036nr 10th Gen Intel Core i5-1035G1, 15.6-Inch FHD Laptop, Natural Silver","https://www.amazon.com/HP-15-Inch-i5-1035G1-Solid-State-15-dy1036nr/dp/B085B5SXLY/ref=sr_1_1?dchild=1&keywords=HP&qid=1616248538&s=pc&sr=1-1","","","$585.73","2,131 ratings","4.5 out of 5 
"
"New Apple MacBook Pro (16-inch, 16GB RAM, 512GB Storage, 2.6GHz Intel Core i7) - Space Gray","https://www.amazon.com/Apple-MacBook-16-Inch-512GB-Storage/dp/B081FZV45H/ref=sr_1_4?dchild=1&keywords=Apple&qid=1616248541&s=pc&sr=1-4","","Price","$2,184.92","4,039 ratings","4.7 out of 5 
"
"Dell Inspiron 5000 15.6 Inch FHD 1080P Touchscreen Laptop (Intel Core i7-1065G7 up to 3.9GHz, 16GB DDR4 RAM, 512GB SSD, Intel UHD Graphics, Backlit KB, HDMI, WiFi, Bluetooth, Win10)","https://www.amazon.com/Dell-Inspiron-Touchscreen-i7-1065G7-Bluetooth/dp/B0826R1P4G/ref=sr_1_17?dchild=1&keywords=Dell&qid=1616248536&s=pc&sr=1-17","","","","140 ratings","4.5 out of 5 
"
"Lenovo IdeaPad 3 15"" Laptop, 15.6"" HD (1366 x 768) Display, AMD Ryzen 3 3250U Processor, 4GB DDR4 Onboard RAM, 128GB SSD, AMD Radeon Vega 3 Graphics, Windows 10, 81W10094US, Business Black","https://www.amazon.com/Lenovo-Processor-Graphics-81W10094US-Business/dp/B0872K4XCJ/ref=sr_1_20?dchild=1&keywords=Lenovo&qid=1616248540&s=pc&sr=1-20","","","","599 ratings","4.5 out of 5 
"
"HP ENVY x360 Convertible 15-inch FHD Touchscreen 2-in-1 Laptop, 10th Gen Intel Core i7-10510U, 8GB RAM, 512GB SSD, Windows 10 Home, Fingerprint Reader, Webcam Kill Switch (15-dr1010nr, Natural Silver)","https://www.amazon.com/HP-Convertible-Touchscreen-Fingerprint-15-dr1010nr/dp/B08558L133/ref=sr_1_14?dchild=1&keywords=HP&qid=1616248538&s=pc&sr=1-14","","","","47 ratings","4.6 out of 5 
"
"Apple Green 12 Inch Latex Balloons 24 Pack Thickened Extra Strong for Baby Shower Garland Wedding Photo Booth Birthday Party Supplies Arch Decoration Engagement Anniversary Christmas Festival","https://www.amazon.com/gp/slredirect/picassoRedirect.html/ref=pa_sp_btf_computers_sr_pg1_1?ie=UTF8&adId=A06559292CYWHX77HJ7X&url=%2FLatex-Balloons-Premium-Helium-Quality%2Fdp%2FB0182782YS%2Fref%3Dsr_1_25_sspa%3Fdchild%3D1%26keywords%3DApple%26qid%3D1616248541%26s%3Dpc%26sr%3D1-25-spons%26psc%3D1&qualifier=1616248541&id=1373904406603054&widgetName=sp_btf","","There was a problem adding this item to Cart. Please try again later.","$9.99","3,453 ratings","4.6 out of 5 
"
"Apple MacBook Pro 16"" with Touch Bar, 9th-Gen 8-Core Intel i9 2.4GHz, 32GB RAM, 1TB SSD, AMD Radeon Pro 5500M 4GB, Space Gray, Late 2019","https://www.amazon.com/Apple-16-MacBook-Pro-9th-Gen/dp/B085CNDPMZ/ref=sr_1_20?dchild=1&keywords=Apple&qid=1616248541&s=pc&sr=1-20","","","$3,399.00","3 ratings","5 out of 5 
"
"2020 HP Envy x360 2-in-1 13.3"" FHD IPS Touchscreen Laptop Intel Evo Platform 11th Gen Core i7-1165G7 8GB Memory 512GB SSD Pale Gold - Backlit Keyboard -Fingerprint Reader -Thunderbolt - WiFi 6","https://www.amazon.com/HP-Touchscreen-Laptop-Platform-i7-1165G7/dp/B08M9CCQD3/ref=sr_1_5?dchild=1&keywords=HP&qid=1616248538&s=pc&sr=1-5","","","","22 ratings","4.5 out of 5 
"
"2021 Flagship Dell Inspiron 15 5000 Laptop Computer 15.6"" Full HD Display 11th Gen Intel Quad-Core i7-1165G7 32GB DDR4 512GB SSD MaxxAudio Backlit Webcam HDMI WiFi USB-C Win 10","https://www.amazon.com/Dell-5593-Touchscreen-i7-10510U-MaxxAudio/dp/B08544ZLWX/ref=sr_1_11?dchild=1&keywords=Dell&qid=1616248536&s=pc&sr=1-11","","","","16 ratings","4.6 out of 5 
"
"Dell Inspiron 17 3793 Laptop 17.3"" Full HD,10th Gen Intel i5-1035G1, 8GB RAM, 512GB SSD, Windows 10","https://www.amazon.com/Dell-Inspiron-17-3793-i5-1035G1/dp/B083QQ25R1/ref=sr_1_4?dchild=1&keywords=Dell&qid=1616248536&s=pc&sr=1-4","","","","33 ratings","4.6 out of 5 
"
"2019 Dell Inspiron 3593 Laptop 15.6"", 10th Generation Intel Core i7-1065G7 Processor, 1TB HDD 16GB DDR4 RAM, HDMI, WiFi, Bluetooth, Windows 10, Black","https://www.amazon.com/Dell-Generation-i7-1065G7-Processor-Bluetooth/dp/B07YWLS346/ref=sr_1_7?dchild=1&keywords=Dell&qid=1616248536&s=pc&sr=1-7","","","","41 ratings","4.3 out of 5 
"
"Dell Inspiron 3583 15” Laptop Intel Celeron – 128GB SSD – 4GB DDR4 – 1.6GHz - Intel UHD Graphics 610 - Windows 10 Home - Inspiron 15 3000 Series - New","https://www.amazon.com/Dell-Inspiron-3583-Laptop-Celeron/dp/B08HSNRFTX/ref=sr_1_5?dchild=1&keywords=Dell&qid=1616248536&s=pc&sr=1-5","","","","54 ratings","4.3 out of 5 
"
"Lenovo Legion Y540 15.6"" Gaming Laptop 144Hz i7-9750H 16GB RAM 256GB SSD GTX 1660Ti 6GB - 9th Gen i7-9750H Hexa-Core - 144Hz Refresh Rate - NVIDIA GeForce GTX 1660Ti 6GB GDDR6 - Legion Ultimate S","https://www.amazon.com/Lenovo-Legion-Gaming-Laptop-i7-9750H/dp/B08739LDJY/ref=sr_1_11?dchild=1&keywords=Lenovo&qid=1616248540&s=pc&sr=1-11","","","$919.99","28 ratings","4.9 out of 5 
"
"Apple MacBook Pro 16"" with Touch Bar, 9th-Gen 8-Core Intel i9 2.4GHz, 64GB RAM, 4TB SSD, AMD Radeon Pro 5500M 8GB, Space Gray, Late 2019 Z0XZ005AK / Z0XZ0005X","https://www.amazon.com/Apple-16-MacBook-Pro-Z0XZ005AK/dp/B08F2YB9W5/ref=sr_1_21?dchild=1&keywords=Apple&qid=1616248541&s=pc&sr=1-21","","","$4,599.00","1 rating","1 out of 5 
"
"Apple MacBook Pro 16"" with Touch Bar, 9th-Gen 8-Core Intel i9 2.4GHz, 32GB RAM, 512GB SSD, AMD Radeon Pro 5500M 8GB, Space Gray, Late 2019 Z0XZ004SE / Z0XZ0008Q","https://www.amazon.com/Apple-16-MacBook-Pro-Z0XZ004SE/dp/B08BZX8RRV/ref=sr_1_22?dchild=1&keywords=Apple&qid=1616248541&s=pc&sr=1-22","","","$3,299.00","1 rating","4 out of 5 
"
"2020 Apple MacBook Air with Apple M1 Chip (13-inch, 8GB RAM, 512GB SSD Storage) - Space Gray","https://www.amazon.com/Apple-MacBook-13-inch-512GB-Storage/dp/B08N5LFLC3/ref=sr_1_1?dchild=1&keywords=Apple&qid=1616248541&s=pc&sr=1-1","","Price","$1,169.92","2,975 ratings","4.8 out of 5 
"
"Apple MacBook Pro 13"" with Touch Bar, 10th-Generation Quad-Core Intel Core i7 2.3GHz, 32GB RAM, 512GB SSD, Space Gray (Mid 2020)","https://www.amazon.com/Apple-MacBook-Pro-10th-Generation-Quad-Core/dp/B08H4XQ4S5/ref=sr_1_19?dchild=1&keywords=Apple&qid=1616248541&s=pc&sr=1-19","","","",""," 
"
"Apple MacBook Pro 16-in 2.3GHz 8-core i9 32GB 1TB 5500M 4GB Space Gray (CTO)","https://www.amazon.com/Apple-16-MacBook-Pro-Z0Y0005GJ/dp/B085CNGYV7/ref=sr_1_8?dchild=1&keywords=Apple&qid=1616248541&s=pc&sr=1-8","","","$2,939.92","26 ratings","4.8 out of 5 
"
"2021 Newest Dell Inspiron 14 5000 Series 5402 Laptop, 14"" Full HD Display, 11th Gen Intel Core i3-1115G4 Processor, 8GB RAM, 128GB SSD, Backlit Keyboard, HDMI, Wi-Fi, Webcam, Windows 10 Home, Silver","https://www.amazon.com/Dell-Inspiron-i3-1115G4-Processor-Keyboard/dp/B088W8JGN9/ref=sr_1_22?dchild=1&keywords=Dell&qid=1616248536&s=pc&sr=1-22","","","$559.00","100 ratings","4.5 out of 5 
"
