,Title,URL,RAM,Price,Rating,Reviews
36,HP Spectre x360,https://www.amazon.com/HP-Spectre-Hexacore-GeForce-Pre-Installed/dp/B083TCWTYR/ref=sr_1_21?dchild=1&keywords=HP&qid=1616248538&s=pc&sr=1-21,16GB,1.699,75 ,4.3
37,Lenovo Flex 14 2,https://www.amazon.com/Lenovo-Convertible-Touchscreen-Processor-81SS000DUS/dp/B07TWHYTSQ/ref=sr_1_23?dchild=1&keywords=Lenovo&qid=1616248540&s=pc&sr=1-23,12GB DDR4,724.0,"3,459 ",4.5
38,HP,https://www.amazon.com/HP-2-1-Touch-Screen-Nightfall/dp/B08BJGMFZH/ref=sr_1_10?dchild=1&keywords=HP&qid=1616248538&s=pc&sr=1-10,,888.0,28 ,4.0
39,Apple MacBook Pro,https://www.amazon.com/Apple-MacBook-13-inch-Storage-Keyboard/dp/B0881ZF6WP/ref=sr_1_24?dchild=1&keywords=Apple&qid=1616248541&s=pc&sr=1-24,8GB,0,149 ,4.7
40,HP 15,https://www.amazon.com/HP-15-Inch-i5-1035G1-Solid-State-15-dy1036nr/dp/B085B5SXLY/ref=sr_1_1?dchild=1&keywords=HP&qid=1616248538&s=pc&sr=1-1,,585.0,"2,131 ",4.5
41,New Apple MacBook Pro,https://www.amazon.com/Apple-MacBook-16-Inch-512GB-Storage/dp/B081FZV45H/ref=sr_1_4?dchild=1&keywords=Apple&qid=1616248541&s=pc&sr=1-4,16GB,2.184,"4,039 ",4.7
42,Apple Green 12 Inch Latex Balloons 24 Pack Thickened Extra Strong for Baby Shower Garland Wedding Photo Booth Birthday Party Supplies Arch Decoration Engagement Anniversary Christmas Festival,https://www.amazon.com/gp/slredirect/picassoRedirect.html/ref=pa_sp_btf_computers_sr_pg1_1?ie=UTF8&adId=A06559292CYWHX77HJ7X&url=%2FLatex-Balloons-Premium-Helium-Quality%2Fdp%2FB0182782YS%2Fref%3Dsr_1_25_sspa%3Fdchild%3D1%26keywords%3DApple%26qid%3D1616248541%26s%3Dpc%26sr%3D1-25-spons%26psc%3D1&qualifier=1616248541&id=1373904406603054&widgetName=sp_btf,,9.0,"3,453 ",4.6
43,"Apple MacBook Pro 16"" with Touch Bar",https://www.amazon.com/Apple-16-MacBook-Pro-9th-Gen/dp/B085CNDPMZ/ref=sr_1_20?dchild=1&keywords=Apple&qid=1616248541&s=pc&sr=1-20,32GB,3.399,3 ,5.0
44,"Lenovo Legion Y540 15.6"" Gaming Laptop 144Hz i7",https://www.amazon.com/Lenovo-Legion-Gaming-Laptop-i7-9750H/dp/B08739LDJY/ref=sr_1_11?dchild=1&keywords=Lenovo&qid=1616248540&s=pc&sr=1-11,"Lenovo Legion Y540 15.6"" Gaming Laptop 144Hz i7-9750H 16GB",919.0,28 ,4.9
45,"Apple MacBook Pro 16"" with Touch Bar",https://www.amazon.com/Apple-16-MacBook-Pro-Z0XZ005AK/dp/B08F2YB9W5/ref=sr_1_21?dchild=1&keywords=Apple&qid=1616248541&s=pc&sr=1-21,64GB,4.599,1 ,1.0
46,"Apple MacBook Pro 16"" with Touch Bar",https://www.amazon.com/Apple-16-MacBook-Pro-Z0XZ004SE/dp/B08BZX8RRV/ref=sr_1_22?dchild=1&keywords=Apple&qid=1616248541&s=pc&sr=1-22,32GB,3.299,1 ,4.0
47,2020 Apple MacBook Air with Apple M1 Chip,https://www.amazon.com/Apple-MacBook-13-inch-512GB-Storage/dp/B08N5LFLC3/ref=sr_1_1?dchild=1&keywords=Apple&qid=1616248541&s=pc&sr=1-1,8GB,1.169,"2,975 ",4.8
48,Apple MacBook Pro 16,https://www.amazon.com/Apple-16-MacBook-Pro-Z0Y0005GJ/dp/B085CNGYV7/ref=sr_1_8?dchild=1&keywords=Apple&qid=1616248541&s=pc&sr=1-8,,2.939,26 ,4.8
49,2021 Newest Dell Inspiron 14 5000 Series 5402 Laptop,https://www.amazon.com/Dell-Inspiron-i3-1115G4-Processor-Keyboard/dp/B088W8JGN9/ref=sr_1_22?dchild=1&keywords=Dell&qid=1616248536&s=pc&sr=1-22,8GB,559.0,100 ,4.5
